jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,mag,mag_unc,limmag
2458386.9729514,b'g',2.418,6.2,26.295621,3.88075e-05,3.0,554.0,3.0,1.0,1.0,7.19603,-1.98687,-0.998601,355.714,1.133,0.0,19.347730791568758,0.004514098167419434,ztf_20180925472940_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180925472940_000554_zg_c03_o_q1_diffimgpsf.fits',19.723592096610304,91.00592087406996,5.980501619348602e-10,2.7594418628620546e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,19.6505218676849
2458390.757963,b'r',2.025,6.2,26.202949,1.12756e-05,1.0,554.0,3.0,1.0,2.0,55.5978,14.2114,-0.823167,310.266,1.385,0.0,11.902317547512055,-0.3574860095977783,ztf_20180929257963_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180929257963_000554_zr_c03_o_q1_diffimgpsf.fits',-81.98981731754935,44.62849059295331,-2.7075738984283767e-09,1.4737797964560907e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.331493492577838
2458390.8775694,b'g',1.976,6.2,26.326966,1.56189e-05,1.0,554.0,3.0,1.0,1.0,56.8237,14.7417,-0.813187,308.783,1.034,0.0,11.745421514511108,0.9201244115829468,ztf_20180929377569_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180929377569_000554_zg_c03_o_q1_diffimgpsf.fits',12.818676195750914,42.77939296915736,3.7762155584013306e-10,1.2602253683897982e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.501454444826624
2458397.8739699,b'g',2.19,6.2,26.320383,1.24204e-05,1.0,554.0,3.0,1.0,1.0,159.361,11.3513,-0.101783,217.209,1.033,0.0,4.51339950389862,-0.5493916273117065,ztf_20181006373958_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181006373958_000554_zg_c03_o_q1_diffimgpsf.fits',33.032905795716715,17.562216017559372,9.790245421660177e-10,5.205064491244788e-10,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,21.46150970208524
2458397.9042824,b'r',2.083,6.2,26.231194,8.1217e-06,1.0,554.0,3.0,1.0,2.0,159.868,11.2444,-0.0996524,216.803,1.054,0.0,5.506146397757529,-0.20186525583267212,ztf_20181006404271_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181006404271_000554_zr_c03_o_q1_diffimgpsf.fits',-6.886860551298564,19.582285969764193,-2.2158669973972614e-10,6.300656284664317e-10,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,21.25411051792136
2458422.7694329,b'g',3.023,6.2,26.305411,1.87474e-05,1.0,554.0,3.0,1.0,1.0,125.324,19.2179,-0.549841,275.721,1.053,0.0,4.518729027938841,0.25633788108825684,ztf_20181031269421_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181031269421_000554_zg_c03_o_q1_diffimgpsf.fits',-28.88309762396222,23.750029504625953,-8.679193444273012e-10,7.13673800182274e-10,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,21.118825605209068
2458422.8184144,b'r',2.439,6.2,26.206789,9.4881e-06,1.0,554.0,3.0,1.0,2.0,126.087,19.2011,-0.544251,275.077,1.043,0.0,7.234481379890442,0.9656500816345215,ztf_20181031318414_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181031318414_000554_zr_c03_o_q1_diffimgpsf.fits',-36.95612754325747,33.79293682077607,-1.2161043929347474e-09,1.1120142085148383e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.63729914820275
2458425.7342361,b'r',1.589,6.2,24.603368,4.04564e-05,1.0,554.0,3.0,1.0,2.0,166.977,8.89755,-0.2258,236.743,1.095,0.0,9.71621326370239,-0.1659221649169922,ztf_20181103234225_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181103234225_000554_zr_c03_o_q1_diffimgpsf.fits',-48.46383603784162,31.41423669268911,-6.983458983154101e-09,4.5266749751642665e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,19.113126708278674
2458425.8409838,b'g',2.07,6.2,26.3285,1.2415e-05,1.0,554.0,3.0,1.0,1.0,168.805,8.45854,-0.215675,235.344,1.08,0.0,4.989574338483809,0.02677983045578003,ztf_20181103340972_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181103340972_000554_zg_c03_o_q1_diffimgpsf.fits',-18.963712970317445,19.291109528592795,-5.578576247202479e-10,5.674886852254779e-10,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,21.367681972043865
2458428.7184028,b'g',2.054,6.2,26.313871,1.12287e-05,1.0,554.0,3.0,1.0,1.0,205.227,-5.6431,-0.0251998,198.268,1.113,0.0,4.835929667043686,-0.34494900703430176,ztf_20181106218391_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181106218391_000554_zg_c03_o_q1_diffimgpsf.fits',-16.714948725114308,19.32950831453021,-4.983754590384465e-10,5.763315663153981e-10,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,21.35089397160881
2458428.7542708,b'r',2.012,6.2,26.202927,7.4929e-06,1.0,554.0,3.0,1.0,2.0,205.856,-5.81086,-0.0239711,197.813,1.052,0.0,5.385817454910279,0.20276546478271484,ztf_20181106254271_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181106254271_000554_zr_c03_o_q1_diffimgpsf.fits',17.165437045292297,21.62254796619026,5.668707721833563e-10,7.14062242051185e-10,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,21.1182348161578
2458431.7393056,b'g',4.125,6.2,26.282416,2.36661e-05,1.0,554.0,3.0,1.0,1.0,243.999,-17.6655,0.0268943,161.122,1.059,0.0,5.330921918678284,0.06504571437835693,ztf_20181109239306_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181109239306_000554_zg_c03_o_q1_diffimgpsf.fits',23.989862307615866,39.59654868711101,7.363111130800647e-10,1.2153208078740122e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.540847655025743
2458431.7739815,b'r',3.237,6.2,26.188838,1.27401e-05,1.0,554.0,3.0,1.0,2.0,244.586,-17.7313,0.0280717,160.71,1.037,0.0,6.651056101703643,-0.34460848569869995,ztf_20181109273970_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181109273970_000554_zr_c03_o_q1_diffimgpsf.fits',84.1453300632555,40.64004510146928,2.8151064270590435e-09,1.3596244985773655e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.41902753572193
2458434.6981597,b'r',2.757,6.2,26.213847,8.9221e-06,1.0,554.0,3.0,1.0,2.0,282.814,-21.9739,0.198278,127.117,1.122,0.0,6.527252528953552,-0.22721052169799805,ztf_20181112198160_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20181112198160_000554_zr_c03_o_q1_diffimgpsf.fits',41.71961384327716,32.982347089548924,1.3639595154582338e-09,1.0783078272575145e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.670718094928738
